state,date,income_mean,income_median,year,avg_annual_cpi,real_median_income
W.P. Labuan,2014-01-01,7591,5684.0,2014,113.19166666666666,5021.5710814989325
W.P. Labuan,2016-01-01,8174,5928.0,2016,115.24166666666667,5143.972810759997
W.P. Labuan,2019-01-01,8319,6726.0,2019,118.25,5687.949260042284
W.P. Labuan,2020-01-01,7333,6126.0,2020,116.04166666666667,5279.138240574506
W.P. Labuan,2022-01-01,8250,6904.0,2022,120.56666666666666,5726.292507602986
W.P. Putrajaya,2012-01-01,8101,6486.0,2012,105.05833333333334,6173.713016578091
W.P. Putrajaya,2014-01-01,10401,7512.0,2014,110.55,6795.115332428766
W.P. Putrajaya,2016-01-01,11555,8275.0,2016,115.45,7167.605023819836
W.P. Putrajaya,2019-01-01,12840,9983.0,2019,120.32499999999999,8296.696447122378
W.P. Putrajaya,2020-01-01,12322,9743.0,2020,120.04166666666667,8116.348490107602
W.P. Putrajaya,2022-01-01,13473,10056.0,2022,133.825,7514.291051746684
